f_wh, f_wmt, f_posh, f_posmt, class
 -51.810778, -57.645900, -16.962885, -16.661973,1
 -13.845897, -18.343059, -11.558803, -11.366364,1
 -16.470601, -13.137633, -24.483031, -25.229097,1
 -13.142296, -17.421537, -30.644239, -32.089619,1
 -25.052811, -32.501385, -29.679314, -31.643136,1
 -13.192659, -15.316226, -12.591365, -11.791841,1
 -30.570418, -25.426850, -22.043660, -23.199754,1
 -35.030791, -70.686863, -11.401926, -12.025147,1
 -46.683164, -49.717210, -30.070520, -30.782492,1
 -55.079356, -35.413931, -12.284530, -13.002926,1
 -22.278514, -27.251434, -10.277786, -10.801828,1
 -40.383933, -68.707816, -48.131047, -49.514721,1
 -40.966901, -23.541680, -7.580752, -7.142466,1
 -29.103346, -13.623228, -34.907092, -36.580462,1
 -9.043807, -23.733998, -7.237308, -6.997592,1
 -46.857068, -60.705146, -14.930252, -15.855283,1
 -21.259517, -19.159734, -11.060462, -12.231898,1
 -42.920793, -40.443996, -29.642470, -28.563444,1
 -23.255269, -50.771131, -39.563247, -42.376137,1
 -20.165485, -20.518217, -22.366620, -23.013605,1
 -28.044654, -40.043678, -31.765562, -35.394890,1
 -60.994355, -128.985741, -24.209833, -27.691575,1
 -26.494128, -34.116263, -23.664600, -25.264585,1
 -59.075740, -49.054837, -24.233717, -24.302433,1
 -10.056746, -24.626471, -10.621706, -11.267970,1
 -32.209332, -49.021362, -21.387331, -21.981382,1
 -40.292343, -67.605686, -18.780076, -18.726780,1
 -35.725823, -64.251336, -2.758087, -2.941566,1
 -20.135533, -28.364608, -17.415823, -17.299827,1
 -33.202753, -60.116115, -20.935506, -21.104056,1
 -263.804631, -476.620628, -14.022862, -14.438663,1
 -45.636499, -85.052989, -11.656247, -11.455930,1
 -10.927273, -11.248559, -17.473969, -17.168451,1
 -25.969171, -16.673737, -17.451938, -18.885557,1
 -75.281707, -45.598753, -24.168825, -24.865775,1
 -28.621442, -34.675809, -10.785778, -11.738619,1
 -30.590809, -42.871248, -6.771060, -7.193862,1
 -48.067515, -63.236613, -10.155194, -10.789811,1
 -41.556010, -52.082633, -32.104544, -33.234796,1
 -27.952250, -40.607374, -39.173087, -43.067491,1
 -10.874639, -22.795109, -47.786024, -48.035570,1
 -11.283923, -20.474383, -27.773938, -29.784179,1
 -4.612928, -7.330905, -21.955697, -21.161789,1
 -18.733419, -21.302283, -18.675219, -18.839983,1
 -40.351270, -41.227549, -33.944515, -37.032294,1
 -16.957943, -28.234637, -31.232476, -31.635338,1
 -9.188694, -17.609591, -18.988194, -17.955591,1
 -42.170100, -48.932355, -32.870980, -32.973803,1
 -27.962939, -38.241774, -15.419025, -17.070659,1
 -29.907451, -55.840947, -28.518329, -31.475897,1
 -31.404127, -66.401449, -17.770025, -18.074815,1
 -29.434730, -66.630738, -44.633114, -45.148508,1
 -21.101278, -42.789854, -44.034243, -48.586409,1
 -36.855510, -22.454777, -34.824952, -36.123045,1
 -21.737038, -69.737145, -16.306444, -16.605407,1
 -38.489282, -42.515056, -7.312212, -7.787509,1
 -124.703791, -204.742157, -18.993944, -19.071523,1
 -9.288596, -16.871995, -13.829121, -15.339766,1
 -23.503628, -29.741823, -24.553111, -23.827844,1
 -20.167245, -21.201172, -21.746942, -22.897624,1
 -46.854678, -46.005082, -28.721670, -30.257035,1
 -41.144277, -21.964304, -18.469516, -18.901167,1
 -32.655331, -79.150639, -20.888369, -21.273506,1
 -12.170534, -21.719079, -9.943816, -10.887744,1
 -16.634205, -11.364223, -36.061447, -35.393901,1
 -32.991158, -60.514587, -20.424146, -21.446090,1
 -69.547367, -64.583984, -20.795988, -21.611534,1
 -35.675690, -53.215630, -18.887806, -18.979085,1
 -18.682165, -51.831579, -48.742929, -45.278028,1
 -60.998078, -26.012423, -11.892397, -12.384065,1
 -104.665275, -86.939040, -6.584058, -6.793240,1
 -8.914414, -17.959470, -22.693326, -23.128049,1
 -32.212372, -49.480625, -11.702875, -11.333712,1
 -161.799657, -118.190523, -20.174175, -21.671029,1
 -17.145067, -7.886251, -12.452015, -11.535137,1
 -10.163657, -18.154969, -6.293294, -6.287240,1
 -42.169038, -63.288603, -42.299988, -46.592962,1
 -16.309162, -19.181414, -36.030520, -36.253494,1
 -25.822840, -28.532551, -34.120938, -35.957009,1
 -30.614729, -35.575042, -21.397648, -22.378596,1
 -23.071789, -55.557574, -27.531379, -27.474242,1
 -26.929580, -34.176097, -22.287585, -22.039242,1
 -25.308605, -41.038747, -14.490280, -14.597702,1
 -10.738404, -12.236727, -8.839061, -8.957849,1
 -27.042072, -41.758810, -13.332784, -13.643283,1
 -40.730242, -77.207227, -21.204472, -21.250877,1
 -14.570966, -14.277260, -18.504007, -19.098558,1
 -8.471441, -12.694392, -7.027762, -7.391937,1
 -20.772979, -29.854910, -9.741844, -9.971253,1
 -23.295767, -41.290777, -19.453733, -21.036902,1
 -45.571004, -78.929475, -16.879390, -18.435891,1
 -79.786795, -142.676558, -39.022690, -40.982924,1
 -72.309076, -33.255054, -25.959113, -27.080254,1
 -49.264953, -74.536572, -25.040240, -25.420050,1
 -41.954173, -83.278438, -16.651189, -17.283332,1
 -25.436259, -59.685021, -14.508921, -14.075441,1
 -40.159462, -37.780846, -8.485662, -10.336042,1
 -44.362364, -129.428911, -27.368470, -28.191921,1
 -35.435314, -41.850015, -87.732509, -92.851180,1
 -20.965167, -41.012913, -28.662890, -29.404597,1
 -25.385638, -55.616533, -5.463473, -5.505908,1
 -15.570899, -40.186565, -46.175741, -50.694387,1
 -38.474371, -82.924854, -13.215230, -14.096831,1
 -71.719185, -134.881713, -24.738306, -26.395745,1
 -21.069782, -29.527641, -29.409234, -28.392923,1
 -15.363789, -38.853343, -5.461771, -5.906647,1
 -14.898687, -15.580159, -10.485565, -10.787688,1
 -21.756554, -35.749278, -42.630862, -44.466741,1
 -61.287653, -58.815383, -15.660198, -15.790134,1
 -32.979602, -67.967992, -17.213606, -17.613434,1
 -35.440164, -39.109381, -13.995038, -14.216938,1
 -40.694230, -92.971676, -20.172225, -20.957155,1
 -43.651078, -51.838509, -13.082117, -13.713568,1
 -34.220602, -31.194530, -23.666306, -24.337511,1
 -15.772797, -19.578625, -7.171754, -7.205431,1
 -49.712891, -92.674454, -29.204729, -28.501582,1
 -78.257770, -49.497977, -8.291819, -8.239788,1
 -34.573635, -53.107881, -45.360280, -46.581885,1
 -17.622370, -27.753630, -17.567066, -19.274143,1
 -32.657513, -24.515474, -12.312852, -12.514861,1
 -21.660043, -32.072285, -27.000048, -28.540391,1
 -25.657445, -37.071119, -38.523049, -41.207197,1
 -14.814934, -21.986425, -23.472932, -23.831448,1
 -17.093955, -40.953059, -15.010816, -13.741225,1
 -19.365550, -42.649985, -4.476975, -6.758641,1
 -48.206492, -67.930058, -8.526916, -9.535552,1
 -29.224065, -63.473674, -23.296871, -25.097812,1
 -26.300928, -65.645103, -24.333262, -24.143714,1
 -30.254777, -35.886650, -11.522074, -12.244210,1
 -29.514916, -58.392053, -18.963581, -19.356916,1
 -26.630401, -53.851558, -4.829596, -5.026562,1
 -58.013220, -33.171293, -22.813419, -24.871501,1
 -17.749288, -32.995616, -13.416551, -13.599671,1
 -32.520490, -52.932759, -3.549601, -3.765336,1
 -28.043030, -32.033776, -24.779286, -26.768659,1
 -50.642699, -83.041759, -14.471574, -15.690257,1
 -21.340779, -57.363579, -20.734220, -20.034870,1
 -21.464330, -10.979482, -21.808782, -22.879799,1
 -19.983298, -43.824656, -40.349730, -40.366888,1
 -34.323975, -60.803275, -44.321936, -44.553735,1
 -60.957656, -175.106292, -24.561189, -24.577434,1
 -41.231250, -54.118472, -30.611441, -30.757770,1
 -43.851376, -48.803582, -26.129017, -26.701268,1
 -99.643887, -74.917844, -30.203145, -32.457085,1
 -21.726080, -43.488813, -47.352889, -49.131041,1
 -32.504738, -30.031535, -13.878543, -14.884840,1
 -9.746713, -15.210433, -5.898969, -5.911437,1
 -16.210903, -38.142220, -15.925349, -16.295177,1
 -16.521254, -25.524523, -6.641447, -8.993156,1
 -20.913342, -32.377707, -14.827310, -16.434585,1
 -11.511888, -18.640652, -4.725743, -4.605282,1
 -47.756678, -89.767481, -61.810997, -60.138995,1
 -29.382278, -36.517742, -9.520781, -8.353220,1
 -75.128112, -101.600310, -21.564078, -21.385654,1
 -30.968577, -38.752149, -21.644545, -21.517054,1
 -36.372843, -101.382450, -19.207665, -18.516963,1
 -52.085130, -25.312991, -26.775355, -27.394437,1
 -34.031679, -42.655218, -19.363528, -18.915913,1
 -14.646685, -35.189717, -33.575094, -36.286710,1
 -40.291828, -22.602344, -16.956818, -17.341711,1
 -13.673921, -24.454548, -46.366476, -45.677523,1
 -22.266972, -25.998389, -16.908966, -17.848828,1
 -25.965299, -50.941922, -10.444452, -11.667238,1
 -19.585301, -20.649684, -63.709739, -63.383578,1
 -17.196248, -28.924782, -40.013906, -40.616956,1
 -19.415760, -26.579761, -17.093177, -20.057346,1
 -41.602707, -17.402523, -37.200992, -37.444307,1
 -50.688827, -50.248436, -22.343419, -22.019314,1
 -148.279327, -177.936845, -21.198476, -21.283564,1
 -14.434299, -32.691900, -23.138294, -24.163813,1
 -22.299964, -37.565266, -45.461610, -46.917610,1
 -32.798950, -21.092747, -20.019075, -19.471383,1
 -48.718294, -31.257859, -19.154598, -20.006446,1
 -12.944903, -23.067152, -54.639181, -56.430633,1
 -22.447302, -24.993197, -21.856015, -22.334616,1
 -28.473421, -79.247774, -25.960246, -26.209902,1
 -83.463816, -68.645565, -18.037022, -22.456977,1
 -11.938637, -18.019107, -24.720548, -26.759278,1
 -33.516507, -40.905553, -24.010590, -24.427171,1
 -21.226320, -35.985106, -33.767773, -32.125057,1
 -22.776142, -28.034360, -23.847566, -24.467141,1
 -107.139240, -91.630356, -22.142555, -22.693428,1
 -11.513663, -15.564434, -24.079765, -25.213672,1
 -23.300323, -49.005869, -23.173388, -23.544997,1
 -30.269776, -44.371070, -35.093506, -35.046808,1
 -18.696342, -28.897299, -3.073194, -2.990760,1
 -56.056565, -39.483902, -8.403209, -9.406606,1
 -60.090405, -63.438496, -49.294144, -50.818475,1
 -25.945371, -39.745533, -32.911747, -34.306462,1
 -20.500311, -21.739388, -28.324689, -29.021484,1
 -24.605953, -51.625682, -32.515066, -33.531611,1
 -16.164266, -30.228388, -12.069955, -12.205552,1
 -6.695402, -6.042619, -10.641392, -10.407462,1
 -118.149102, -110.860351, -8.815673, -10.867094,1
 -58.285660, -41.298180, -55.970507, -58.008578,1
 -15.564417, -25.445999, -18.656581, -18.606253,1
 -12.398651, -26.815996, -21.289278, -23.544738,1
 -18.391433, -21.573645, -30.665538, -29.553795,1
 -10.842377, -25.234114, -14.689051, -15.659814,1
 -53.949779, -60.966038, -30.690803, -30.647575,1
 -70.553450, -107.063407, -10.429954, -11.136349,1
 -78.905352, -80.069661, -22.735228, -24.378453,1
 -39.001812, -83.007958, -18.868620, -19.218746,1
 -42.671694, -69.909461, -7.460296, -9.501440,1
 -16.951397, -21.601145, -8.107555, -8.702999,1
 -11.107785, -13.423510, -27.260530, -25.748418,1
 -34.080424, -28.812363, -9.664988, -12.073890,1
 -12.931224, -16.527461, -29.998244, -30.077459,1
 -24.162137, -49.167574, -23.290012, -23.961367,1
 -8.551000, -6.920576, -10.179670, -9.903673,1
 -44.370988, -97.705572, -58.086184, -61.985604,1
 -36.405034, -49.266314, -30.405009, -31.050417,1
 -31.674910, -25.395929, -23.878519, -25.479817,1
 -30.360357, -38.159202, -5.825200, -5.946609,1
 -33.724629, -37.684252, -6.322683, -6.423044,1
 -95.770813, -87.576186, -5.288777, -5.188598,1
 -23.680429, -20.660009, -15.166938, -15.900221,1
 -14.270719, -32.156037, -13.871664, -16.838895,1
 -29.640429, -67.329002, -31.318141, -31.849780,1
 -21.733446, -46.996599, -29.509413, -31.538060,1
 -27.829409, -53.848551, -9.648832, -10.631829,1
 -37.056019, -49.467977, -28.010915, -28.948702,1
 -12.258390, -18.624650, -6.341439, -5.965376,1
 -39.580869, -73.001043, -12.693663, -12.812402,1
 -115.861352, -100.637747, -27.690576, -31.719607,1
 -38.925209, -50.892642, -29.074848, -29.058713,1
 -31.128392, -62.972354, -35.234827, -34.268224,1
 -33.582523, -53.135954, -9.643517, -9.196909,1
 -18.513300, -53.336956, -12.733850, -14.042833,1
 -61.524993, -151.338350, -21.496871, -21.753719,1
 -118.521840, -74.127488, -8.831328, -9.360294,1
 -20.153787, -23.637837, -23.537262, -22.894121,1
 -37.301696, -24.594608, -21.054913, -22.622991,1
 -10.500922, -12.208326, -24.546569, -25.988246,1
 -74.448574, -51.303946, -15.817526, -16.022702,1
 -18.680602, -47.170104, -33.195432, -36.356367,1
 -49.903232, -41.276146, -19.547328, -19.184964,1
 -37.504487, -47.483741, -13.465423, -13.754997,1
 -131.060045, -130.232861, -22.953560, -23.211484,1
 -48.074505, -26.711953, -13.770588, -14.377905,1
 -24.373165, -28.603039, -29.448215, -29.341212,1
 -43.133366, -50.836056, -27.440360, -28.469633,1
 -34.153497, -85.278966, -65.861765, -67.126790,1
 -25.401941, -26.421297, -21.120716, -22.147356,1
 -12.427136, -12.374954, -34.093728, -33.221456,1
 -26.652574, -40.625869, -8.334145, -9.471499,1
 -142.016349, -123.591087, -6.184224, -6.454776,1
 -27.217569, -49.868475, -14.267342, -14.955276,1
 -76.625886, -42.738911, -27.002371, -28.385562,1
 -22.819023, -34.698552, -12.390192, -12.319224,1
 -33.935846, -57.942408, -41.094848, -41.663992,1
 -19.955623, -25.574858, -9.791436, -9.923532,1
 -37.232702, -46.569260, -12.887455, -13.063229,1
 -62.846505, -44.814516, -25.528295, -25.725373,1
 -38.901177, -89.565840, -24.136726, -24.442236,1
 -63.931538, -29.715265, -15.372665, -15.847636,1
 -22.739106, -27.143883, -6.859704, -6.986612,1
 -8.370137, -21.844114, -15.546161, -16.805105,1
 -25.958690, -63.207153, -21.975917, -25.695196,1
 -20.547501, -18.658804, -9.771087, -9.994328,1
 -34.190439, -77.749794, -15.234799, -15.165517,1
 -16.680368, -25.626766, -30.398317, -31.209056,1
 -43.824399, -56.407845, -8.380393, -8.851116,1
 -25.605110, -30.175456, -27.096214, -26.007960,1
 -21.276469, -40.507596, -9.553874, -10.369470,1
 -17.801917, -44.434162, -6.541007, -6.556018,1
 -37.439775, -90.981185, -19.812926, -23.780949,1
 -17.633569, -19.511238, -13.293826, -13.409222,1
 -37.452985, -45.272302, -19.316766, -18.839980,1
 -18.894473, -38.480788, -16.975924, -17.485043,1
 -41.117370, -62.482236, -34.679806, -37.235197,1
 -102.291543, -90.068422, -27.065089, -28.286096,1
 -26.804945, -50.481974, -97.515650, -96.450082,1
 -53.466421, -56.449962, -9.590713, -9.466996,1
 -21.537309, -39.109386, -43.691924, -46.144183,1
 -9.891195, -19.953789, -25.968325, -26.573112,1
 -23.550158, -24.045371, -15.988470, -17.508734,1
 -21.247201, -36.017879, -9.942702, -8.769830,1
 -29.531940, -35.459004, -21.168773, -21.936675,1
 -17.796588, -40.014981, -4.206031, -4.212953,1
 -12.132968, -16.704941, -34.463000, -38.943406,1
 -19.255771, -32.898506, -9.971896, -11.820146,1
 -70.546276, -53.684470, -16.240962, -16.148798,1
 -31.486794, -66.224631, -19.916514, -21.491507,1
 -13.767276, -24.957160, -63.741296, -61.945779,1
 -26.670580, -43.750118, -26.125072, -28.139581,1
 -53.885063, -73.814484, -10.362914, -10.642434,1
 -24.147759, -40.573020, -36.338516, -36.779707,1
 -14.768243, -18.352903, -82.876072, -81.366404,1
 -8.343324, -14.932203, -27.714822, -30.041797,1
 -83.494408, -44.275222, -35.928788, -34.715406,1
 -14.106997, -28.467061, -24.217389, -24.550194,1
 -25.112395, -34.368977, -19.359163, -19.676736,1
 -57.569763, -26.740738, -29.191774, -29.604476,1
 -54.224898, -36.588614, -23.028779, -22.555291,1
 -15.965799, -20.411284, -40.319211, -44.792024,1
 -38.294025, -18.916640, -15.291853, -15.417458,1
 -21.882654, -19.596437, -41.432154, -44.893367,1
 -26.799063, -42.733271, -21.481217, -21.130433,1
 -32.166588, -53.136264, -35.006186, -32.944104,1
 -41.073539, -51.752332, -36.105235, -36.705886,1
 -22.560367, -57.878529, -10.664439, -11.017137,1
 -16.208238, -25.009828, -12.755726, -15.021545,1
 -27.484771, -32.376037, -17.067432, -17.684584,1
 -32.587195, -62.263651, -53.265047, -55.375620,1
 -11.683026, -15.033891, -23.041223, -25.642549,1
 -27.442889, -17.870206, -14.648757, -15.149148,1
 -38.973864, -36.589583, -7.047951, -7.275344,1
 -102.630481, -104.941797, -32.193706, -31.062351,1
 -90.488700, -48.783959, -20.672481, -21.812273,1
 -41.168179, -43.847715, -52.563233, -50.837785,1
 -12.146080, -21.300649, -41.440907, -43.187909,1
 -33.894958, -65.061160, -19.294540, -17.897329,1
 -5.294517, -10.170036, -12.844884, -14.281143,1
 -35.550560, -69.520249, -9.475480, -10.262951,1
 -20.228400, -25.218798, -35.018077, -35.860593,1
 -30.319054, -63.583053, -31.508931, -34.033378,1
 -22.194623, -24.406301, -15.220694, -15.580271,1
 -9.293203, -11.424866, -4.200480, -6.276561,1
 -54.519398, -62.757368, -21.692998, -21.176125,1
 -29.245439, -45.553258, -18.238015, -21.095592,1
 -25.358236, -30.296424, -18.214715, -18.981710,1
 -27.940124, -35.410436, -7.042517, -7.568576,1
 -7.318961, -5.580276, -18.470622, -19.962218,1
 -24.229458, -28.184389, -26.831383, -26.906103,1
 -23.493331, -43.884075, -38.019068, -39.765847,1
 -25.134353, -36.584235, -24.008887, -23.472333,1
 -18.571714, -38.188489, -15.551481, -16.180935,1
 -29.242480, -41.025567, -21.250896, -21.092078,1
 -27.052223, -41.592913, -26.935129, -30.117709,1
 -22.425553, -36.485600, -33.959330, -35.829155,1
 -28.249384, -33.396621, -9.351937, -9.853925,1
 -14.829692, -20.295074, -13.709861, -13.863943,1
 -19.621156, -38.410809, -58.743135, -60.622478,1
 -14.180179, -19.585990, -7.582344, -7.436651,1
 -25.712396, -58.215498, -23.649560, -21.806274,1
 -13.494417, -48.322428, -11.640896, -11.597557,1
 -8.677923, -14.669050, -17.201474, -20.178124,1
 -38.556054, -53.399886, -20.199771, -20.072239,1
 -91.320324, -66.657543, -25.473694, -26.384983,1
 -41.772921, -53.716288, -12.380635, -12.307846,1
 -29.395812, -62.704838, -29.785646, -31.167436,1
 -13.416204, -29.824007, -29.936872, -30.203897,1
 -117.746263, -161.031775, -43.270053, -43.411565,1
 -10.266502, -20.126824, -64.376043, -65.085240,1
 -11.562412, -25.210445, -41.068702, -43.441297,1
 -22.147060, -23.698812, -33.536562, -32.754034,1
 -32.609750, -56.820129, -27.347851, -26.951685,1
 -8.981721, -8.547706, -47.542792, -47.209700,1
 -77.941260, -116.844449, -19.015748, -20.492181,1
 -50.811810, -51.861396, -36.158509, -36.092764,1
 -22.890528, -39.586478, -28.801440, -30.600913,1
 -34.166874, -12.986433, -28.913934, -32.094588,1
 -22.731117, -44.399960, -9.749380, -9.626028,1
 -13.646820, -29.300668, -4.663282, -4.561437,1
 -62.303516, -44.767393, -10.056892, -10.865563,1
 -16.125965, -22.851738, -29.745421, -29.849842,1
 -59.155132, -71.376140, -19.983252, -23.022557,1
 -35.618864, -26.258719, -45.313959, -45.893964,1
 -37.341922, -71.514945, -10.053645, -10.043531,1
 -53.927020, -50.794710, -11.636628, -11.228325,1
 -18.819001, -10.849193, -36.907798, -39.619496,1
 -104.670335, -44.035294, -17.776361, -18.550980,1
 -15.522244, -31.897099, -54.045129, -53.557544,1
 -13.972141, -20.651616, -24.430126, -25.397918,1
 -10.967087, -15.080556, -40.508004, -38.421128,1
 -13.252229, -18.834463, -22.287785, -21.907709,1
 -52.393596, -41.659880, -22.933002, -22.663179,1
 -15.706938, -29.312615, -12.783101, -13.135203,1
 -22.377896, -36.597979, -9.710161, -9.874620,1
 -50.325367, -113.692161, -20.998204, -23.832976,1
 -22.903845, -29.180649, -3.156068, -3.298397,1
 -33.040671, -69.755970, -9.394762, -8.874406,1
 -23.441442, -44.548939, -7.626289, -7.463189,1
 -46.229633, -34.996956, -23.718151, -23.195022,1
 -20.564509, -31.052801, -12.312818, -13.678195,1
 -103.788246, -82.266550, -21.260642, -20.534906,1
 -36.936875, -36.636832, -5.706411, -5.391756,1
 -48.889995, -43.550176, -9.432914, -9.365384,1
 -35.182540, -54.691698, -25.608969, -25.462411,1
 -33.550877, -78.884414, -61.085613, -61.224595,1
 -11.530640, -30.402351, -6.953890, -6.904266,1
 -89.077091, -50.101143, -13.915814, -14.401532,1
 -63.914650, -26.697380, -46.510365, -47.851212,1
 -28.876303, -41.494911, -17.428318, -18.414393,1
 -25.721992, -59.474401, -14.544550, -14.856857,1
 -13.102661, -9.688116, -19.372239, -19.274728,1
 -31.716067, -67.174020, -23.528200, -24.219229,1
 -28.403721, -16.286183, -9.754627, -10.205064,1
 -21.749310, -32.171510, -15.909650, -17.369236,1
 -8.039931, -8.584081, -12.296694, -13.036377,1
 -28.285678, -54.507454, -7.210790, -8.534142,1
 -29.669124, -52.526075, -10.899316, -12.491176,1
 -36.915259, -35.138720, -10.085669, -10.793625,1
 -15.208548, -9.339647, -25.031637, -26.213953,1
 -17.937181, -9.178673, -8.501999, -8.955810,1
 -9.087530, -10.981701, -22.505417, -22.906941,1
 -14.937665, -27.666259, -13.761234, -15.113869,1
 -46.435396, -113.032077, -19.205547, -19.326645,1
 -13.536767, -10.023337, -13.550900, -12.862263,1
 -20.238335, -31.610305, -27.377163, -27.566016,1
 -22.319946, -33.948214, -23.276970, -23.445765,1
 -75.857832, -50.535871, -21.494017, -22.699230,1
 -25.476583, -44.436416, -31.553508, -31.632592,1
 -121.935850, -114.823427, -40.138851, -37.894388,1
 -22.649549, -54.500788, -13.324688, -13.747342,1
 -7.131099, -9.674654, -15.797557, -16.758696,1
 -8.210406, -18.443533, -16.771114, -17.057459,1
 -19.628336, -24.928303, -24.486331, -25.461687,1
 -43.847550, -45.946995, -44.454532, -45.391385,1
 -23.028731, -28.019961, -5.812772, -6.026143,1
 -20.508031, -35.984598, -28.348195, -28.853649,1
 -11.157407, -21.104321, -22.844356, -23.191233,1
 -37.259719, -64.791734, -10.244125, -11.076413,1
 -8.571241, -11.521477, -6.376377, -7.032399,1
 -142.464530, -107.953652, -46.432777, -47.435399,1
 -16.741116, -83.737457, -15.522360, -19.337186,1
 -5.924336, -10.000741, -20.970125, -20.416379,1
 -50.712101, -76.995229, -18.301160, -18.475959,1
 -63.738828, -125.446276, -51.643034, -53.085539,1
 -24.862181, -30.032999, -18.489962, -22.183666,1
 -26.812170, -31.798364, -16.116557, -15.587221,1
 -9.049168, -19.306460, -17.329920, -18.652929,1
 -6.389257, -3.490905, -20.899420, -20.762530,1
 -30.880372, -19.591871, -26.714423, -28.022294,1
 -20.354844, -19.380181, -20.950043, -26.265525,1
 -19.170705, -28.251376, -22.388269, -23.224882,1
 -9.211535, -12.748001, -29.030533, -31.497350,1
 -44.950644, -95.201073, -41.400780, -42.860760,1
 -41.015831, -59.648865, -37.994793, -38.802074,1
 -42.097325, -88.444135, -29.091976, -29.191476,1
 -25.722440, -20.243098, -21.283587, -23.592589,1
 -15.198764, -25.315344, -9.216572, -9.759359,1
 -10.993236, -14.349975, -25.137496, -26.094155,1
 -41.157100, -45.442592, -29.260829, -30.274672,1
 -10.576151, -21.782819, -18.431867, -18.505414,1
 -20.956773, -33.346735, -34.903433, -33.885703,1
 -18.052729, -26.171826, -32.558736, -35.533901,1
 -98.361051, -74.122191, -12.211868, -12.218670,1
 -27.224489, -31.086804, -26.356144, -25.882782,1
 -16.543725, -22.513100, -6.488536, -6.310051,1
 -42.996440, -48.024540, -21.071215, -20.446366,1
 -20.060785, -29.681583, -28.251232, -28.707222,1
 -11.064406, -18.900580, -10.098623, -10.442862,1
 -7.202432, -3.813826, -18.649040, -20.546436,1
 -26.764931, -69.538994, -17.585453, -17.559004,1
 -25.560694, -16.103935, -37.124533, -37.255877,1
 -11.187337, -14.074608, -3.549408, -3.199699,1
 -33.569543, -54.869746, -10.525650, -11.504426,1
